isrc,spotify_id,artist,title,album,duration_ms,release_date,spotify_popularity,playlist_count,playlist_sources
FRZ051900630,1XUivd12LBHFanCqt0buaz,Lous and The Yakuza,Solo,Gore,193640,2020-10-16,,1,link_playlist_0
USRC11701132,4h6ViRoztTBpWcJ1zFT9Zg,SZA,20 Something,Ctrl,198160,2017-06-09,,1,link_playlist_0
QMBZ92184180,4psOOvBSTGC5NE1uxvwkbz,Zinoleesky,Naira Marley,Naira Marley,133443,2021-06-25,,3,link_playlist_1;link_playlist_13;link_playlist_20
FR9W12420527,16sBOdPqkKAVFCoPc8iB6M,Dorty,Blessing - Afro Beats Ivoire 2,Blessing (Afro Beats Ivoire 2),184100,2024-05-10,,1,link_playlist_1
DGA052366621,4yAQAjlxFt274xHu8j8ScE,Black K,Ca va me donner quoi,Ca va me donner quoi,178159,2023-06-30,,1,link_playlist_1
FRX452445738,0wVbLYbOAzHsEcyAtNLOFo,Josey,Démarrage,Vibration Universelle,196148,2024-04-26,,1,link_playlist_1
FRX202066132,5LZOSLGQD61beV7cKfugih,Obam's,C'est doux,C'est doux,224347,2020-07-10,,1,link_playlist_1
CIUM72300020,0W3072uAeMGXf7KjKVbzeh,Ayanne,Aroukoutou,Vitamine A,173959,2024-09-27,,1,link_playlist_1
USSM11300889,7brQHA2CgQpcMBiOlfiXYb,The Neighbourhood,Afraid,I Love You.,251186,2013-04-22,,1,link_playlist_2
GBPPE0800075,5LEdKHWBLEh4CwjFQcxs6x,Santigold,My Superman,Santigold,182933,2008-05-12,,1,link_playlist_2
USWB18100020,5shPZ6RnC6sCm0iSZiv7wU,Prince,Controversy,Controversy,435333,1981-10-14,,1,link_playlist_2
QZNMW2123548,7D3AvJojWNdkEWoSIwFLiE,Alina Baraz,Alone With You,Alone With You,226278,2021-07-22,,1,link_playlist_3
QM6MZ2231148,0o4HD0mOtTiHSbycbg4IpT,RAYE,Hard Out Here.,My 21st Century Blues,191164,2023-02-03,,1,link_playlist_3
USRC12100544,0k4d5YPDr1r7FX77VdqWez,Doja Cat,You Right,Planet Her,186173,2021-06-25,,1,link_playlist_3
USUG12203940,5ZIGspcGWW7LOaVJXQB6Av,Jessie Reyez,**JEANS (with MIGUEL)**,PAID IN MEMORIES,195500,2025-03-28,,1,link_playlist_3
USUG12301790,6gQrm0rwg6hok8IxzysD8m,Amaarae,Reckless & Sweet,Fountain Baby,159680,2023-06-09,,2,link_playlist_3;link_playlist_10
USRC12204025,1o8Z7GD1CeOaVBEyuzu4HO,Victoria Monét,On My Mama,On My Mama,186678,2023-06-16,,1,link_playlist_3
USRC12204022,3OgdnA3LYpJ6vxrfk6X3p4,Victoria Monét,Alright,JAGUAR II,173913,2023-08-25,,1,link_playlist_3
ITRWL2500021,13GmZ3eCdhC49uPLDJSB21,Sissi,Telegram,XS,153750,2025-04-11,,1,link_playlist_3
QM6N22433711,1qvgsMTiNL4WwUnQ9yMz2m,RAYE,"Genesis, pt. ii",Genesis.,208836,2024-06-07,,1,link_playlist_3
USRC12402243,5UmfBGfRJgjZ8CdhgffabQ,LISA,New Woman (feat. ROSALÍA),Alter Ego,179789,2025-02-28,,1,link_playlist_3
USRC11901655,0rIAC4PXANcKmitJfoqmVm,Normani,Motivation,Motivation,193837,2019-08-16,,1,link_playlist_3
USUM71900409,4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,"break up with your girlfriend, i'm bored","thank u, next",190440,2019-02-08,,1,link_playlist_3
GBBKS2500313,0LnjlEJ3A7CfVYVH2l5KkH,Jim Legxacy,new david bowie,black british music (2025),134400,2025-07-18,,1,link_playlist_3
GBBKS2500314,3hHyi09mb4tm5U0E4DaeMQ,Jim Legxacy,d.b.a.b,black british music (2025),156631,2025-07-18,,1,link_playlist_3
GX3Q92386075,3XGKiSzqLp9ORj00WhqLky,Jim Legxacy,block hug,homeless n*gga pop music,172607,2023-04-26,,1,link_playlist_3
ITHZX2400025,3vnu6l7joTbVlwYedSm1H7,nayt,Serie TV,Lettera Q,186000,2024-11-22,,1,link_playlist_4
ITHZX2400017,4anVhqcUQ6meMRdz8PYFUy,nayt,Non è fortuna,Lettera Q,177049,2024-11-22,,1,link_playlist_4
USUYG1376101,569vy4ZVCh2qawmDraU1ez,Inayah,Missin It,Side A,91515,2021-06-25,,1,link_playlist_4
USAT22202284,6XtaPHxQvhFn9p24f2tvRZ,Josh Levi,VICES,DISC TWO,183750,2022-06-09,,2,link_playlist_4;link_playlist_20
QM24S2005878,2xwbEd4EeuCoi7RIabKD3K,Josh Levi,DON'T THEY,DISC ONE,178348,2020-07-01,,1,link_playlist_4
ITRWL2500029,2tchckpnk6RZ2yPyB09eeG,Sissi,Arma Puntata (feat. 22simba),XS,171391,2025-04-11,,1,link_playlist_4
ITRWL2500030,3wtqt3EUXskYLu8WunMrmK,Sissi,Diavoli in un club,XS,155034,2025-04-11,,1,link_playlist_4
QZNMX2444670,1I5hhujd8OgWO5SZLEtOPk,Col3trane,Closer,Hamartia,169499,2024-11-22,,1,link_playlist_5
GBARL2401776,5bCWjEsrK0KUGMxPrjGJZg,Sasha Keable,WHY,WHY,179594,2024-11-25,,1,link_playlist_5
QZWFW2429432,5MlgQaWpMAASIX5KVA0IFV,Toulouse,The Place Between Field And Ether,Triptych C,259299,2024-11-15,,1,link_playlist_5
QM5FT1600120,5oO3drDxtziYU2H1X23ZIp,Rihanna,Love On The Brain,ANTI (Deluxe),224000,2016-01-28,,1,link_playlist_6
USWB12300325,31Wlc9ZnraX3JxrvMg9e8H,Omar Apollo,3 Boys,3 Boys,209188,2023-02-17,,1,link_playlist_6
USWB12303806,3wEa4oO2y9kuaPAbh4pzQb,Omar Apollo,Live For Me,Live For Me,211666,2023-10-06,,1,link_playlist_6
USUG12403771,5j34I5WUnKZVHP14J0Mlcb,Amaarae,sweeeet,"roses are red, tears are blue — A Fountain Baby Extended Play",111229,2024-06-27,,2,link_playlist_7;link_playlist_11
QZNJZ2404072,0YhfN67l9tH7nCM04nASUq,Joochar,Bon débarras,Bon débarras,148892,2024-08-23,,1,link_playlist_8
KRMIM1810659,7tdstgErp2WLiwpsEVcNov,Rapercussion,Gbégbé,African Rhythms Of Fonike,105746,2018-09-28,,1,link_playlist_8
USAT22401348,0AkiAfilrTUXV49dleC5SB,Charli xcx,So I,BRAT,211352,2024-06-07,,1,link_playlist_9
USAT22401350,19RybK6XDbAVpcdxSbZL1o,Charli xcx,Apple,BRAT,151739,2024-06-07,,1,link_playlist_9
USAT22401351,4wTvw1dBiPXNiHTh0zzpcI,Charli xcx,B2b,BRAT,178579,2024-06-07,,1,link_playlist_9
USAT22401353,3OaFGqHUyxGVkOcSILw8Kx,Charli xcx,I think about it all the time,BRAT,135878,2024-06-07,,1,link_playlist_9
GBMA22406214,1I08zQMc1sHy2xwd8itedV,Odeal,Soh-Soh,Sunday At Zuri's,184552,2024-07-05,,1,link_playlist_10
USUG12402952,7vAXxDFUHDPxWzSujxb8jB,Ayra Starr,Goodbye (Warm Up)(feat. Asake),The Year I Turned 21,163114,2024-05-30,,2,link_playlist_10;link_playlist_11
GB45A2300109,4PjUTGWC6hQJ84zQQOMkWk,Tay Iwar,Don't Lie,Summer Breeze,156213,2023-06-09,,1,link_playlist_10
USUYG1243904,0iI2cOHpX6xmwKD15Q5ynd,Rayana Jay,Breakfast in Bed,Love Me Like,116059,2019-03-22,,1,link_playlist_10
USUYG1456491,1QrRuByqSfCxYS0JdZMlIf,BLK ODYSSY,Lay Low,Lay Low,139586,2022-12-09,,1,link_playlist_10
USRC12401014,6617OvEesvCz7kGfXLYW4h,Normani,Big Boy (feat. Starrah),DOPAMINE,173087,2024-06-14,,1,link_playlist_11
USRC12401016,14bmkoHIGDA4F3coRG6d2O,Normani,All Yours,All Yours,210338,2024-06-13,,1,link_playlist_11
USRC12200487,1SlGaBvTqX0gb24ouXonOo,Normani,Fair,Fair,184012,2022-03-18,,1,link_playlist_11
US5ED2405646,30JrG6H4yDSDyLPStS69CG,Jaz Karis,NICE GIRLS,NICE GIRLS,149538,2024-04-19,,1,link_playlist_11
USAT22405478,5b3XJ1pjrHO5JtY2PcTjnI,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),MEGAN,156988,2024-06-28,,1,link_playlist_11
USRC12401017,4EBmRDnoPHS8CnumK8tVv8,Normani,Lights On,DOPAMINE,225520,2024-06-14,,1,link_playlist_11
USSM12308661,6XpEm7VJ7TZxZTawH8BCSW,Tyla,Jump,TYLA,147071,2024-03-22,,1,link_playlist_11
USUG12402944,1NpReyx5RDIbFnracbbHhy,Ayra Starr,Birds Sing of Money,The Year I Turned 21,163385,2024-05-30,,1,link_playlist_11
QZTLA2484078,1CeDVMLH4u7mjgWhGu0OUY,Alex Mali,4LIFE,4LIFE,144000,2024-04-19,,1,link_playlist_11
ITZA81600019,6gspIxeLjQdbndod8OC5cJ,Mecna,Il tempo non ci basterà,Lungomare Paranoia,253946,2017-01-13,,1,link_playlist_12
ITZA81400212,3DVkqOaJRj7RYIHoprECgG,Mecna,Faresti Con Me,Laska,218440,2015-01-27,,1,link_playlist_12
FR2X41751539,72l0Knt9IWzIJMB899drW0,Ernia,Feeling,Come Uccidere Un Usignolo (67 Edition),177368,2017-11-03,,1,link_playlist_12
ITUM71900323,0E5bmLyxyiHsmc82D5gsiY,Ernia,Phi,68 (Till The End),174000,2019-04-05,,1,link_playlist_12
NGA3B2314006,1iBWjQ9af9NnUd5xnQDB3k,Rema,Charm,Rave & Roses Ultra,204750,2023-04-27,,1,link_playlist_13
QZHNA2368413,5mH230vvkLSBJJZIftBttH,Chop Daily,Water,Water,149457,2023-05-03,,1,link_playlist_13
QZQAY2390018,5wedEJLTgmlmworhXQaaO8,Minz,sokoto,sokoto,175714,2023-06-23,,1,link_playlist_13
QM6MZ2204522,3baPniPXS0iEII8rDUJdYP,Lojay,Monalisa,Monalisa,212975,2022-05-19,,2,link_playlist_13;link_playlist_20
FR8R61600004,0QLjm2PNqKRJfWsxDPa9Ra,Booba,DKR,DKR,176316,2016-09-30,,1,link_playlist_13
GBAPA9500037,0YPHxhTtceIbXF5ioGEwGO,Salif Keita,Folon,Folon,267693,1995-01-01,,1,link_playlist_13
FR2W61700009,3aPOQ6TdIuAW8m1KZid1Hv,Oumou Sangaré,Mogoya,Mogoya,210773,2017-05-19,,1,link_playlist_13
GBBGU9000421,5IQtSy70lutizrFGdOH9QJ,Oumou Sangaré,Moussolou,Moussolou,314573,1991-01-01,,1,link_playlist_13
QM4TX2344810,1javLzBHyEKJJrG3s6FHaM,Jorja Smith,Little Things,Little Things,204600,2023-05-11,,1,link_playlist_13
GBAYE2200286,4icnlpI5IbZcRO9mpixVVW,PinkPantheress,Where You Are (feat. WILLOW),Where you are (feat. WILLOW),153706,2022-04-22,,2,link_playlist_13;link_playlist_20
BE1JB2300002,4xexPtg7VSPCf9hM3aZdfZ,YellowStraps,Slowdown (girl what's up),Slowdown (girl what's up),123000,2023-11-13,,1,link_playlist_13
CAWHO2027276,1a5VioVjBPWmYJp4EwOEuA,Jazzy LoFi,Jazz Cafe - Lofi Beats,LoFi Jazz Beats,79058,2020-10-12,,1,link_playlist_13
